user_id,touchpoint_date,channel,conversion
0,2023-03-16,paid_search,0
0,2023-03-17,organic,0
1,2022-08-15,display,0
1,2022-08-18,display,0
1,2022-08-18,paid_search,0
1,2022-08-21,paid_social,0
2,2022-09-18,paid_search,0
2,2022-09-19,organic,0
2,2022-09-19,paid_social,0
2,2022-09-22,affiliate,0
2,2022-09-23,paid_search,0
3,2023-07-12,display,1
4,2022-11-17,display,0
4,2022-11-19,organic,0
4,2022-11-19,paid_search,0
4,2022-11-20,paid_search,0
4,2022-11-21,display,0
5,2022-08-21,paid_search,0
5,2022-08-22,paid_search,0
5,2022-08-23,display,0
5,2022-08-24,affiliate,0
5,2022-08-24,paid_social,0
6,2022-10-30,affiliate,0
6,2022-10-31,display,0
7,2023-10-29,affiliate,0
8,2023-09-12,paid_social,0
8,2023-09-12,display,0
8,2023-09-15,display,0
8,2023-09-15,paid_search,0
8,2023-09-16,affiliate,0
9,2023-02-26,paid_social,0
9,2023-03-02,paid_search,0
9,2023-03-03,display,1
10,2023-06-10,display,0
10,2023-06-12,paid_search,0
11,2022-08-09,paid_social,0
11,2022-08-10,paid_social,0
11,2022-08-10,display,0
11,2022-08-12,paid_search,0
12,2022-10-22,affiliate,0
12,2022-10-23,organic,0
12,2022-10-23,paid_social,0
12,2022-10-25,paid_search,0
13,2022-11-02,affiliate,0
13,2022-11-03,paid_search,1
14,2023-09-20,display,1
15,2022-05-15,display,0
15,2022-05-16,display,0
15,2022-05-19,paid_social,0
15,2022-05-21,display,0
16,2023-02-13,organic,0
16,2023-02-17,affiliate,0
16,2023-02-18,paid_search,0
17,2023-10-25,paid_social,0
17,2023-10-29,affiliate,0
17,2023-10-31,paid_search,1
18,2023-06-24,paid_social,0
18,2023-06-24,paid_social,0
18,2023-06-25,affiliate,0
18,2023-06-28,display,1
19,2022-06-30,paid_search,0
19,2022-07-05,paid_search,0
19,2022-07-06,paid_social,0
20,2023-10-27,display,0
20,2023-10-27,paid_search,0
20,2023-10-29,organic,1
21,2022-03-06,paid_social,0
21,2022-03-06,paid_social,0
21,2022-03-10,paid_social,0
21,2022-03-12,display,0
22,2022-11-04,paid_search,0
22,2022-11-05,display,0
22,2022-11-07,paid_social,0
22,2022-11-07,paid_social,0
22,2022-11-08,paid_social,0
23,2023-10-08,organic,0
23,2023-10-12,paid_social,0
23,2023-10-14,paid_search,0
24,2022-03-31,display,0
24,2022-04-02,paid_search,0
24,2022-04-05,paid_search,0
24,2022-04-05,paid_search,0
25,2022-11-26,affiliate,0
25,2022-11-28,display,0
25,2022-11-30,display,0
25,2022-12-01,affiliate,0
25,2022-12-02,organic,0
26,2023-04-02,paid_search,0
26,2023-04-03,paid_search,0
26,2023-04-04,affiliate,1
27,2022-06-06,paid_search,1
28,2022-10-14,affiliate,0
28,2022-10-15,paid_social,0
28,2022-10-15,paid_search,0
28,2022-10-17,paid_social,0
29,2023-06-22,paid_social,0
29,2023-06-22,affiliate,0
29,2023-06-23,paid_search,0
29,2023-06-23,organic,0
30,2023-12-22,paid_social,0
31,2022-04-27,paid_search,0
32,2022-10-10,paid_social,0
32,2022-10-12,paid_search,0
32,2022-10-15,affiliate,0
32,2022-10-15,display,0
32,2022-10-16,display,0
33,2022-02-13,paid_social,0
33,2022-02-13,paid_social,0
33,2022-02-14,display,0
33,2022-02-16,paid_search,0
33,2022-02-18,paid_search,1
34,2022-06-20,display,0
34,2022-06-22,paid_search,0
34,2022-06-23,affiliate,0
35,2023-12-06,organic,0
35,2023-12-06,paid_search,0
35,2023-12-08,paid_search,0
35,2023-12-10,display,1
